id,titulo,autor,precio,idEditorial
144,Ranunculus hawaiensis A. Gray,Maurie McChruiter,89.94,4
146,Githopsis diffusa A. Gray,Joanie Luty,182.37,4
153,Carex sartwellii Dewey,Tim Romei,59.61,4
155,Alopecurus geniculatus L.,Hadria Madgin,62.10,4
156,Corydalis aurea Willd.,Lidia Huygens,431.05,4
157,Gilia millefoliata Fisch. & C.A. Mey.,Ellswerth Fairley,95.78,4
169,Echinochloa P. Beauv.,Lester Jeyes,243.39,4
183,Panicum hirticaule J. Presl var.,Cammy Linsley,122.92,4
184,Ipomoea obscura (L.) Ker Gawl.,Jordana Poor,55.26,4
185,Azolla pinnata R. Br. ssp. pinnata,Clio Dionisii,59.59,4
187,Ulva clathratioides L.G. Kraft,Justen Papen,298.52,4
188,Mentzelia veatchiana Kellogg,Elenore Monkhouse,478.05,4
197,Eugenia laevis Berg,Prisca Roston,420.38,4
200,Melanelia exasperatula (Nyl.) Essl.,Denis Shuttle,279.07,4
203,Galactia erecta (Walter) Vail,Lise Collimore,366.99,4
210,Dioscorea rotundata Poir.,Rich Cristofalo,464.82,4
213,Eriogonum microthecum Nutt.,Garrett Challens,106.60,4
221,Arctostaphylos rudis Jeps. & Wies. ex Jeps.,Dulsea De'Ath,49.37,4
242,Dryopteris ×triploidea Wherry,Marshall Isakovic,490.02,4
244,Bulbostylis schaffneri (Boeckeler) C.B. Clarke,Theobald FitzGeorge,315.64,4
247,Saxifraga nelsoniana D. Don,Mandi Enns,64.68,4
257,Dalea phleoides (Torr. & A. Gray),Hali Kerr,468.58,4
258,Salvia L.,Cheryl McDermot,203.84,4
261,Cymopterus acaulis (Pursh) Raf.,Cherin Patis,118.65,4
266,Casuarina Rumph. ex L.,Lissa Reboul,355.91,4
271,Borzicactus Riccob.,Lillian Domokos,339.60,4
274,Dianthus repens Willd.,Yard Bygreaves,150.18,4
280,Caloplaca quercicola H. Magn.,Ernst Keymar,287.73,4
286,Brassica narinosa L.H. Bailey,Nicolas Collecott,357.14,4
287,Wolffia arrhiza (L.) Horkel ex Wimm.,Thorndike Yonge,394.00,4
288,Penstemon rubicundus D.D. Keck,Ardene Blind,80.64,4
295,Calycera balsamitifolia A. Rich.,Pietra Ferrini,177.74,4
298,Arnica unalaschcensis Less.,Joachim Barizeret,177.35,4
303,Phoradendron juniperinum Engelm. ex A. Gray,Nellie Nise,225.62,4
311,Julella lactea (A. Massal.) M.E. Barr,Leslie Huggen,400.17,4
323,Larix decidua Mill.,Nicko Spinley,48.86,4
324,Plantago bigelovii A. Gray ssp. bigelovii,Agnola Berthot,434.77,4
331,Bryum cyclophyllum (Schwägr.) Bruch & Schimp.,Avivah Gasnell,172.00,4
333,Justicia carthagenensis Jacq.,Vitia Kimblen,94.36,4
337,Cladonia cornuta (L.),Melodee Kimbury,486.76,4
338,Eriogonum divaricatum Hook.,Belva Jarred,119.94,4
340,Ionopsidium acaule (Desf.) Rchb.,Freida Tolley,401.42,4
355,Diellia ×lauii W.H. Wagner,Melita Besnardeau,253.80,4
365,Acacia elata A. Cunn. ex Benth.,Anjanette Vane,372.10,4
366,Cheiridopsis N.E. Br.,Geoffrey Belsham,52.05,4
373,Euphorbia segetalis L.,Anna-diana Lyford,249.02,4
375,Pritchardia affinis Becc.,Shane Cadagan,53.04,4
386,Boehmeria Jacq.,Alyssa Gavini,311.08,4
393,Bomarea Mirb.,Helaina Ubsdell,148.98,4
397,Trisetum sibiricum Rupr..,Millie Spackman,102.90,4
398,Mnium marginatum (With.) Brid. ex P. Beauv.,Garland Mant,354.79,4
408,Delphinium barbeyi (Huth) Huth,Bridie Brownsill,105.64,4
409,Cecidonia Treibel & Rambold,Roldan Waywell,450.38,4
413,Atriplex falcata (M.E. Jones) Standl.,Foster Ansley,258.11,4
435,Lomatium macrocarpum,Edy Di Domenico,401.41,4
437,Aronia arbutifolia (L.) Pers.,Emiline Goodbairn,463.48,4
441,Glinus radiatus (Ruiz & Pav.) Rohrb.,Bunny Jills,50.61,4
444,Acanthus ebracteatus Vahl,Lezlie Dorricott,140.15,4
448,Lecanora cinereofusca H.,Harlie McRannell,446.98,4
465,Jacquemontia pringlei A. Gray,Scarlet Waplington,387.22,4
477,Ampelopsis brevipedunculata (Maxim.) Trautv.,Kaela Newgrosh,189.06,4
478,Carex ×mendica Lepage,Dieter Paskins,146.53,4
479,Furcraea antillana A. Álvarez,Sheppard Blockley,284.40,4
485,Alnus viridis (Chaix) DC.,Felisha Lawden,274.07,4
495,Viola ×consobrina House,Kristin Kinnane,370.96,4
497,Chromolaena oteroi (Monachino),Sharai Ickowicz,207.68,4
498,Rhizophora mangle L.,Annamarie Bevington,153.56,4
